State,District,Latitude,Longitude,Population,Male Literate,Female Literate,Scheduled Castes,Male Scheduled Castes,Female Scheduled Castes,Scheduled Tribes,Male Scheduled Tribes,Female Scheduled Tribes ,Workers,Male Workers,Female Workers,Main Workers,Marginal Workers,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other_Workers,Total Hindus,Total Muslims,Total Christians,Total Sikhs ,Total Buddhists,Total Jains,Others Religions,Religion Not Stated,LPG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Rural Households,Urban Households,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduation,Other Education,Households with Bicycle,Households with Car Jeep Van,Households with Radio Transistor,"Households with Scooter,Motorcycle,Moped","Households with Telephone,Mobile,Phone and Landline only","Households with Telephone,MobilePhone and Mobile only","Households with TV,Computer,Laptop,Telephone,mobile,phone and ScooterCar",Households with Television,"Households with Telephone,Mobile and Phone","Households with Telephone,Mobile and Phone",Total Religion,Literacy Rate,Sex Ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,1066460,257207,1417572,363737,484912,84661,390357,2399901,275970,15422,1377,25510,617,322,22120,194954,566108,5512,45202,597466,220248,817714,232470,344167,281752,225957,143143,100226,19277,150289,8338,25190,96998,15483,374630,9483,306433,403530,13417,2719119,100.0,100.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,1679655,356511,2044982,413253,879537,105343,638033,3599372,443456,20463,932,341,1417,309,14858,223016,897970,8606,48299,902997,341431,1244428,462273,720357,582075,331793,162175,144915,23341,206433,9915,63528,144214,24039,534408,14470,559461,581087,22640,4066290,100.0,98.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,1669852,263505,2240707,434544,748093,57269,693451,3737588,397870,24129,867,253,1322,358,11677,324406,944555,13763,67087,907970,395900,1303870,522961,770836,673197,548336,265199,246409,36017,225856,16296,93489,186568,35378,561188,24934,611465,632803,36237,4162387,100.0,100.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,1748117,345564,3060615,160407,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,9661,479914,1297273,22411,93784,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,47702,779052,25381,113126,232073,65415,614288,34494,821421,732492,52789,5144635,100.0,101.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2106326,275298,2506189,302341,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,15982,648568,1186028,19383,80434,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,30279,454586,17424,106907,190079,62229,617321,28457,816849,733133,53583,4871831,100.0,100.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,1096081,317216,2530026,28308,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,62142,581509,869721,149034,274653,0,1066289,1066289,230962,596591,685215,811501,517425,558090,45937,229561,124106,288188,439890,91702,583744,200317,746818,799174,123728,3881181,100.0,95.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,1590304,286464,1899501,360390,756859,168340,591179,3491139,244723,24979,2086,332,312,115,12583,344667,926768,8831,46584,877236,288044,1165280,340372,453505,482842,463403,293493,256633,35312,406211,14175,37212,192965,25539,648422,16190,589283,691495,17534,3763686,100.0,101.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,1215871,194191,1387308,224972,804537,19799,360754,2595321,158887,33463,655,217,459,539,7829,219710,668519,8628,42171,669262,201363,870625,295639,346118,329630,238811,154774,160804,25456,267852,11887,35761,115078,19525,389453,15140,416734,427722,18744,2789541,100.0,101.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,1744978,303902,2468518,150166,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,31597,632890,1163932,30438,101450,909292,567042,1476334,618101,692968,630603,531821,312753,328454,54728,525079,27969,112568,212111,76037,598166,43264,794346,743696,69493,4485801,100.0,99.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,1757520,271905,2024038,310954,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,17520,195001,816721,10081,56478,783853,306982,1090835,521327,672951,466940,271828,152453,115504,19282,271815,10622,79714,118153,30605,519103,15373,543044,572406,22698,4035943,100.0,99.0
